2,clean\Noise\4-183882-B_0.wav
1,clean\Laugh\laugh_2.m4a_6_0.wav
1,clean\Laugh\laugh_1.m4a_56_0.wav
0,clean\Cry\Louise_01m4a_8_0.wav
3,clean\Silence\silence.wav_78_0.wav
3,clean\Silence\silence.wav_70_0.wav
1,clean\Laugh\laugh_1.m4a_30_0.wav
1,clean\Laugh\laugh_1.m4a_43_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_3_0.wav
2,clean\Noise\1-22804-A_0.wav
1,clean\Laugh\laugh_1.m4a_72_0.wav
1,clean\Laugh\laugh_1.m4a_84_0.wav
1,clean\Laugh\laugh_1.m4a_37_0.wav
1,clean\Laugh\laugh_2.m4a_9_0.wav
0,clean\Cry\margotm4a_19_0.wav
3,clean\Silence\silence.wav_74_0.wav
3,clean\Silence\silence.wav_17_0.wav
2,clean\Noise\3-203373-A_0.wav
2,clean\Noise\2-72688-A_0.wav
2,clean\Noise\5-195557-A_0.wav
3,clean\Silence\silence.wav_32_0.wav
3,clean\Silence\silence.wav_75_0.wav
3,clean\Silence\silence.wav_95_0.wav
0,clean\Cry\margotm4a_6_0.wav
0,clean\Cry\5-198411-F_0.wav
2,clean\Noise\3-123086-A_0.wav
3,clean\Silence\silence.wav_39_0.wav
1,clean\Laugh\laugh_1.m4a_65_0.wav
1,clean\Laugh\laugh_1.m4a_27_0.wav
0,clean\Cry\4-59579-A_0.wav
0,clean\Cry\margotm4a_25_0.wav
0,clean\Cry\3-152007-C_0.wav
2,clean\Noise\3-151557-B_0.wav
2,clean\Noise\1-47819-A_0.wav
1,clean\Laugh\laugh_2.m4a_0_0.wav
2,clean\Noise\2-56926-A_0.wav
0,clean\Cry\1-22694-B_0.wav
1,clean\Laugh\laugh_1.m4a_79_0.wav
2,clean\Noise\4-183882-A_0.wav
2,clean\Noise\3-130998-A_0.wav
2,clean\Noise\1-21421-A_0.wav
2,clean\Noise\2-57191-A_0.wav
1,clean\Laugh\laugh_1.m4a_9_0.wav
1,clean\Laugh\laugh_1.m4a_62_0.wav
2,clean\Noise\3-216281-A_0.wav
1,clean\Laugh\laugh_1.m4a_68_0.wav
0,clean\Cry\margotm4a_24_0.wav
1,clean\Laugh\laugh_1.m4a_11_0.wav
1,clean\Laugh\laugh_1.m4a_78_0.wav
1,clean\Laugh\laugh_1.m4a_49_0.wav
2,clean\Noise\1-34094-B_0.wav
3,clean\Silence\silence.wav_89_0.wav
0,clean\Cry\2-66637-A_0.wav
3,clean\Silence\silence.wav_12_0.wav
3,clean\Silence\silence.wav_40_0.wav
0,clean\Cry\Louise_01m4a_2_0.wav
3,clean\Silence\silence.wav_66_0.wav
2,clean\Noise\2-114587-A_0.wav
3,clean\Silence\silence.wav_97_0.wav
3,clean\Silence\silence.wav_24_0.wav
1,clean\Laugh\laugh_1.m4a_1_0.wav
3,clean\Silence\silence.wav_14_0.wav
0,clean\Cry\4-167077-B_0.wav
3,clean\Silence\silence.wav_98_0.wav
2,clean\Noise\2-69131-A_0.wav
0,clean\Cry\4-185575-C_0.wav
3,clean\Silence\silence.wav_16_0.wav
1,clean\Laugh\laugh_1.m4a_4_0.wav
1,clean\Laugh\laugh_1.m4a_20_0.wav
2,clean\Noise\3-145577-A_0.wav
0,clean\Cry\5-198411-C_0.wav
2,clean\Noise\2-116400-A_0.wav
2,clean\Noise\4-216211-A_0.wav
0,clean\Cry\2-107351-A_0.wav
1,clean\Laugh\laugh_1.m4a_53_0.wav
1,clean\Laugh\laugh_1.m4a_25_0.wav
0,clean\Cry\1-60997-B_0.wav
3,clean\Silence\silence.wav_6_0.wav
0,clean\Cry\2-66637-B_0.wav
2,clean\Noise\1-56380-A_0.wav
3,clean\Silence\silence.wav_11_0.wav
1,clean\Laugh\laugh_1.m4a_32_0.wav
3,clean\Silence\silence.wav_87_0.wav
1,clean\Laugh\laugh_1.m4a_71_0.wav
0,clean\Cry\margotm4a_26_0.wav
3,clean\Silence\silence.wav_2_0.wav
3,clean\Silence\silence.wav_4_0.wav
2,clean\Noise\2-59566-A_0.wav
3,clean\Silence\silence.wav_58_0.wav
3,clean\Silence\silence.wav_38_0.wav
1,clean\Laugh\laugh_1.m4a_39_0.wav
0,clean\Cry\3-152007-D_0.wav
0,clean\Cry\margotm4a_22_0.wav
2,clean\Noise\4-156993-A_0.wav
1,clean\Laugh\laugh_1.m4a_10_0.wav
3,clean\Silence\silence.wav_51_0.wav
